global_step,global_decision_step,approx_global_env_frame_step,policy_loss,value_loss,entropy,approx_kl,clip_fraction,learning_rate,rollout_action_0,rollout_action_1,rollout_action_2,rollout_action_3,rollout_action_4,rollout_action_5,rollout_action_6,rollout_action_7,rollout_action_8,rollout_action_9,rollout_action_10,rollout_action_11,dominant_action_frac,reward_clip,target_kl,rollout_int_reward_mean,rollout_int_reward_sum
128,128,512,9.124539792537689e-05,37.57550811767578,1.9458128213882446,9.221583604812622e-05,0.0,0.0001,21,22,21,18,12,14,20,0,0,0,0,0,0.171875,1,0.03,1.816010846766858e-05,0.002324493883861578
256,256,1024,-0.0024859122931957245,45.69768524169922,1.9453349113464355,0.00017209909856319427,0.0,0.0001,23,10,21,25,13,24,12,0,0,0,0,0,0.1953125,1,0.03,1.7599611624063982e-05,0.0022527502878801897
384,384,1536,-0.010283097624778748,13.475593566894531,1.9426802396774292,0.0007271431386470795,0.0,0.0001,23,12,20,19,17,24,13,0,0,0,0,0,0.1875,1,0.03,1.749239014259274e-05,0.0022390259382518707
512,512,2048,0.003490785136818886,14.967294692993164,1.938581943511963,0.0004535326734185219,0.0,0.0001,24,17,24,22,11,20,10,0,0,0,0,0,0.1875,1,0.03,1.655881372641943e-05,0.002119528156981687
640,640,2560,-0.0037124762311577797,4.586121082305908,1.9373220205307007,7.364992052316666e-05,0.0,0.0001,15,17,20,15,24,20,17,0,0,0,0,0,0.1875,1,0.03,1.6236522498047634e-05,0.002078274879750097
768,768,3072,-0.0037318505346775055,4.7681884765625,1.9391465187072754,0.00013561267405748367,0.0,0.0001,23,12,20,13,18,26,16,0,0,0,0,0,0.203125,1,0.03,1.5800498353257808e-05,0.0020224637892169994
896,896,3584,0.001511313021183014,20.323972702026367,1.940429449081421,3.0164606869220734e-05,0.0,0.0001,18,18,20,23,13,17,19,0,0,0,0,0,0.1796875,1,0.03,1.5398643483877095e-05,0.001971026365936268
1024,1024,4096,-0.0007862895727157593,46.53583908081055,1.9385896921157837,9.249337017536163e-05,0.0,0.0001,27,21,16,22,13,12,17,0,0,0,0,0,0.2109375,1,0.03,1.5063316155305984e-05,0.001928104467879166
1152,1152,4608,-0.008577089756727219,33.344390869140625,1.933957576751709,0.0004688100889325142,0.0,0.0001,22,13,20,19,12,24,18,0,0,0,0,0,0.1875,1,0.03,1.4481038910219013e-05,0.0018535729805080337
1280,1280,5120,-0.002608109265565872,50.06724166870117,1.9239157438278198,0.0007775025442242622,0.0,0.0001,24,12,15,23,20,25,9,0,0,0,0,0,0.1953125,1,0.03,1.4261476351862257e-05,0.0018254689730383689
